Id,Program,Y0s1_enrol,Y0s2_enrol,Y1s1_enrol,Y1s1_complete,Y1s1_grade,Y1s2_enrol,Y1s2_complete,Y1s2_grade,Y2s1_enrol,Y2s1_complete,Y2s1_grade,Y2s2_enrol,Y2s2_complete,Y2s2_grade,Y3s1_enrol,Y3s1_complete,Y3s1_grade,Y3s2_enrol,Y3s2_complete,Y3s2_grade,Y4s1_enrol,Y4s1_complete,Y4s1_grade,Y4s2_enrol,Y4s2_complete,Y4s2_grade,Rest_enrol,Rest_complete,Rest_grade,Failure
131393730,2,23.5,0,41.5,18,10,48.5,30.5,11.492,33,21.5,11.116,34,22.5,10.711,34,13,10.692,36,13,11.538,30,14,11.679,30,24,10.958,0,0,0,0
131407547,2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131383962,3,18,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131384579,2,42,57,33,27,12.333,39,36,13.833,30,21,13.286,24,18,13.667,30,18,14.667,30,18,12,0,0,0,0,0,0,0,0,0,0
131390177,2,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131388531,1,32,48,30,12,11.5,48,12,11,34,17,12.059,36,6,14,0,0,0,0,0,0,30,8,13,42,18,16,129,21,12.714,0
111354366,3,24,30,30,30,14.533,30,30,16,30,30,14.233,30,30,13.5,30,30,15.433,30,30,15.467,0,0,0,0,0,0,0,0,0,0
131392932,1,30,30,34,0,0,26,0,0,32,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111374720,3,0,12,30,15,15.667,30,30,15.5,34,34,12.647,30,30,14,30,26,13.077,30,30,15.5,30,30,13.4,30,30,14.333,0,0,0,0
131395998,1,6,24,36,30,12.2,36,36,11.833,40,20,12.55,29,12,14,69,19,10.316,84,12,10,45,6,11,58,10,11.5,58,16,10.938,0
131402950,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131390393,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131379583,3,36,30,22,22,12.364,25,22,13.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131381726,1,29,65,33,2,16,57,12,13,30,3,17,60,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131382899,1,36,36,0,0,0,0,0,0,30,3,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131383572,1,6,12,41,35,12.371,30,24,12,33,22,13.409,36,30,12.6,30,15,11,42,36,11.5,0,0,0,0,0,0,0,0,0,0
131391336,0,40,32,30,24,15.5,30,30,14.2,30,30,13.833,30,30,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111364572,3,24,30,30,30,15.333,30,30,17,30,30,15.133,30,30,18,30,30,14.467,30,30,14.733,0,0,0,0,0,0,0,0,0,0
131396727,2,12,9,12,0,0,9,0,0,9,0,0,12,0,0,0,0,0,0,0,0,12,0,0,11.5,0,0,139.5,23.5,10.255,1
111335831,3,15,45,30,30,16,30,30,14.967,30,30,15.667,30,30,15.133,30,30,14.633,30,30,15,0,0,0,0,0,0,0,0,0,0
131381767,1,41,42,29,0,0,42,0,0,30,3,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131389176,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131382420,2,42,57,36,9,10.667,36,15,11.2,30,24,13.375,30,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131385848,1,36,36,40,8,12.125,30,12,11,30,3,12,36,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131386300,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131382385,2,36,45,36,9,13,36,18,10.667,30,18,13.833,30,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131394659,2,6,6,23,11.5,13.913,42,36,11.958,35,18,11.333,51,22.5,12,36,24.5,11.755,34,22.5,11.089,38.5,2.5,15,37,20.5,11.244,0,0,0,0
111364508,3,24,30,30,30,14.6,30,30,17,30,30,15.333,30,30,17,30,30,13.233,30,30,14.467,0,0,0,0,0,0,0,0,0,0
131380026,2,66,30,30,18,14.5,30,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131382411,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131394169,2,34,16.5,33,23,11.304,51.5,28.5,10.807,34.5,18.5,10.351,35.5,24.5,11.98,36.5,8.5,12.706,36.5,24.5,10.98,0,0,0,0,0,0,0,0,0,0
131386096,2,39,69,0,0,0,0,0,0,39,6,11,33,12,10.5,42,12,11.5,30,18,14.278,42.5,6.5,12.154,36,12.5,12.72,60,29,12.362,0
131394528,2,33.5,29,33.5,23.5,11.745,51,30,11.967,33.5,6,10,33,10,11.8,36.5,15,10.933,37,27,10.667,0,0,0,0,0,0,0,0,0,0
131385996,2,47.5,59.5,42.5,31,11.613,36,30,12.817,30,11.5,10.652,30,24,12.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131381831,3,30,30,30,30,14.367,30,30,16.333,30,30,14.9,30,30,14.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131389187,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131392245,0,29,35,24,0,0,47,0,0,0,0,0,0,0,0,31,0,0,40,0,0,28,0,0,44,0,0,199,54,12.13,1
131396262,0,23,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
